Tool,Rate 1,Rate 2
AMBUR,0.164956313,0.164956313
AMBUR,0.164721098,0.164721098
AMBUR,0.16354502,0.16354502
AMBUR,0.163309805,0.163309805
AMBUR,0.16307459,0.16307459
AMBUR,0.162498784,0.162498784
AMBUR,0.162714819,0.162714819
AMBUR,0.162930855,0.162930855
AMBUR,0.164011031,0.164011031
AMBUR,0.164227067,0.164227067
AMBUR,0.164443102,0.164443102
AMBUR,0.165523279,0.165523279
AMBUR,0.165309236,0.165309236
AMBUR,0.16471585,0.16471585
AMBUR,0.161748922,0.161748922
AMBUR,0.161155536,0.161155536
AMBUR,0.16056215,0.16056215
AMBUR,0.157595222,0.157595222
AMBUR,0.157001837,0.157001837
AMBUR,0.156408451,0.156408451
AMBUR,0.153984567,0.153984567
AMBUR,0.153883925,0.153883925
AMBUR,0.153783283,0.153783283
AMBUR,0.153280075,0.153280075
AMBUR,0.153179433,0.153179433
AMBUR,0.153078792,0.153078792
AMBUR,0.15297815,0.15297815
AMBUR,0.152575582,0.152575582
AMBUR,0.152474941,0.152474941
AMBUR,0.152374299,0.152374299
AMBUR,0.152944266,0.152944266
AMBUR,0.153494973,0.153494973
AMBUR,0.154045681,0.154045681
AMBUR,0.157349925,0.157349925
AMBUR,0.157900633,0.157900633
AMBUR,0.15845134,0.15845134
AMBUR,0.161204877,0.161204877
AMBUR,0.161755584,0.161755584
AMBUR,0.162306292,0.162306292
AMBUR,0.165059829,0.165059829
AMBUR,0.165688775,0.165688775
AMBUR,0.166504514,0.166504514
AMBUR,0.170583209,0.170583209
AMBUR,0.171398948,0.171398948
AMBUR,0.172214686,0.172214686
AMBUR,0.176293381,0.176293381
AMBUR,0.17710912,0.17710912
AMBUR,0.177924859,0.177924859
AMBUR,0.182003553,0.182003553
AMBUR,0.182819292,0.182819292
AMBUR,0.183635031,0.183635031
AMBUR,0.187713726,0.187713726
AMBUR,0.188529464,0.188529464
AMBUR,0.189345203,0.189345203
AMBUR,0.181779226,0.181779226
AMBUR,0.180049766,0.180049766
AMBUR,0.178320306,0.178320306
AMBUR,0.17420653,0.17420653
AMBUR,0.174945249,0.174945249
AMBUR,0.175683969,0.175683969
AMBUR,0.179377566,0.179377566
AMBUR,0.180116285,0.180116285
AMBUR,0.180855005,0.180855005
AMBUR,0.181593724,0.181593724
AMBUR,0.184548602,0.184548602
AMBUR,0.185287321,0.185287321
AMBUR,0.186026041,0.186026041
AMBUR,0.189719638,0.189719638
AMBUR,0.190024742,0.190024742
AMBUR,0.190106599,0.190106599
AMBUR,0.190188456,0.190188456
AMBUR,0.190597743,0.190597743
AMBUR,0.1906796,0.1906796
AMBUR,0.190761457,0.190761457
AMBUR,0.191088886,0.191088886
AMBUR,0.191170744,0.191170744
AMBUR,0.191252601,0.191252601
AMBUR,0.191743745,0.191743745
AMBUR,0.191825602,0.191825602
AMBUR,0.19190746,0.19190746
AMBUR,0.193204661,0.193204661
AMBUR,0.194424214,0.194424214
AMBUR,0.195643767,0.195643767
AMBUR,0.201741532,0.201741532
AMBUR,0.202961085,0.202961085
AMBUR,0.204180638,0.204180638
AMBUR,0.210278403,0.210278403
AMBUR,0.211497956,0.211497956
AMBUR,0.21271751,0.21271751
AMBUR,0.214955424,0.214955424
AMBUR,0.214765309,0.214765309
AMBUR,0.214575194,0.214575194
AMBUR,0.213624617,0.213624617
AMBUR,0.213434502,0.213434502
AMBUR,0.213244386,0.213244386
AMBUR,0.21229381,0.21229381
