uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,0,6.45,11.25,1.79,0
uBTMs,6.45,0,11.19,6.25,6.45
tSLI,11.25,11.19,0,11.27,11.25
eBTM,1.79,6.25,11.27,0,1.79
sBTM,0,6.45,11.25,1.79,0
