uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,0,14.89,21.2,14.78,0
uBTMs,14.89,0,21.39,13.27,4.7
tSLI,21.2,21.39,0,21.50,8.79
eBTM,14.78,13.27,21.50,0,14.78
sBTM,0,4.7,8.79,14.78,0
