TIC,latitude,longitude,Tmag,GAIAmag,Vmag,Jmag,Kmag,Teff,logg,MH,lumclass,rad,e_rad,mass,numcont,contratio,pmRA,pmDEC,Sectors,Epoch,Period,Duration,Depth,Depth,Tmag,Delta Tmag
9100874,-22.67737855,350.5784372,13.1198,13.5714,13.817,12.509,12.11,5747,4.23543,,DWARF,1.28156,,1.03,,,16.9568,-7.22959,14_20_21,2458684.16,9.62517,3.725,540,,10.2728,8.1690156
9102327,-19.41967188,350.7797807,11.3018,11.6947,11.906,10.763,10.439,5366.7,4.08246,-1.3,DWARF,1.45148,0.0873769,0.929,27,0.044725023,-1.19116,5.00268,17_18,2458764.794,0.50261,1.127,1120,,9.9475,7.376954943
9348006,39.45781642,150.115134,10.9184,11.4501,11.648,10.19,9.722,5251,4.54337,,DWARF,0.83944,0.0498618,0.898,34,0.003124016,-5.83926,-15.2959,8,2458518.617,3.302889,5.296093,8470.261719,,12.4257,5.180257926
9392421,39.52676934,167.7778216,10.7184,11.164,11.289,10.073,9.707,5637.72,3.97421,-0.127,DWARF,1.70581,0.102593,1,19,0.004036491,4.75971,-22.441,18,2458794.763,3.94018,1.991,15860,,9.68708,4.499242043
9725627,-10.11808243,358.4085629,10.9774,11.3496,11.915,10.508,10.199,6362.5,4.2569,-0.2,DWARF,1.38831,0.0749473,1.27,21,0.003853302,-19.2018,-8.1718,17,2458769.397,5.23121,3.826,3043.98,,10.4234,6.291395513
9727392,-10.8849728,358.4447305,11.2932,11.6417,11.861,10.775,10.489,6421.5,4.08773,-0.31,DWARF,1.70005,0.102156,1.29,41,0.030588605,0.798947,3.35511,1_2_3_4_6,2458325.547,0.438374,0.560712,2168.830322,,13.3292,6.659436059
9804616,-9.276779365,47.64312529,14.1118,15.3981,16.79,12.473,11.663,3323,4.64795,,DWARF,0.603855,0.0233943,0.591222,21,0.000279393,83.5428,-7.54699,13,2458666.87,12.958787,2.013102,3299.743164,,12.0936,6.203799655
9828416,33.20508566,261.0964351,9.8251,10.1741,10.265,9.352,9.089,6382,3.90208,,DWARF,2.09701,0.096,1.28,111,0.001958572,-7.86491,-3.02379,16_17,2458739.378,1.24564,1.353,630,,9.98645,8.001648626
9837861,54.2920691,70.5485585,9.9021,10.5118,10.938,9.008,8.455,5235.54,,0.104,GIANT,2.67566,,,,,2.97169,-2.50583,2,2458356.404,3.39656,2.094,9700,,12.141,5.033070664
9858404,-8.57352302,48.49951973,8.00006,8.35272,8.45,7.456,7.143,6337,3.85503,,DWARF,2.19112,0.100945,1.254,35,0.03866105,-9.32105,-76.262,15_16,2458739.28,0.70902,2.49,570,,10.0146,8.110312861
11111899,36.65180277,303.8248002,9.6996,9.89468,9.846,9.348,9.187,7273,,,DWARF,1.7904,,,1962,0.209118009,5.7,0.9,7,2458492.922,2.82537,2.52,2090,,10.4337,6.699634285
11561667,-27.39278175,149.8237866,14.9181,15.7364,16.195,13.779,12.934,4107,4.5617,,DWARF,0.69386,,0.64,,,-24.6346,-8.28623,24,2458739.63,0.77871,1.458,670,,10.9141,7.934812993
11996814,65.28922445,31.17081836,11.6484,12.563,13.134,10.491,9.67,3975,4.62844,,DWARF,0.627144,0.0183442,0.609693,813,0.232557788,-26.0358,24.7709,3_6_7_8_9_13,2458390.544,6.87863,2.805,190,,8.5885,9.303115998
12421862,-27.12213329,2.268159921,9.92801,10.9187,11.688,8.655,7.856,3782,4.78389,,DWARF,0.447336,0.0133167,0.4437,40,0.011394993,692.255,90.1419,14_15_17_18_20_21_23,2458690.395,49.994877,5.570793,1631.076102,,11.5509,6.968814438
12423815,-26.28239659,2.568740698,14.6253,15.7131,16.516,13.224,12.333,3628,4.69452,,DWARF,0.54933,0.0174061,0.544652,27,0.024522338,23.0819,-2.75675,24,2458774.668,9.07788,6.214,5600,,10.7799,5.629529932
