TIC,latitude,longitude,Tmag,GAIAmag,Vmag,Jmag,Kmag,Teff,logg,MH,lumclass,rad,e_rad,mass,numcont,contratio,pmRA,pmDEC,Sectors,Epoch,Period,Duration,Depth,Depth,Tmag,Delta Tmag
143994283,-42.9990841,119.3007689,10.5551,10.9234,10.898,10.035,9.751,6544,4.45502,,DWARF,1.13944,0.0507437,1.35,825,0.114034325,-3.21129,-15.082,11,2458601.475,8.53364,3.472,2730,,9.5918,6.409593382
144065872,-48.00306924,337.4572324,9.4995,9.93697,10.092,8.936,8.564,5758,4.2653,,DWARF,1.23824,0.0596985,1.03,55,0.003544509,91.9757,-6.86129,16_17,2458743.871,10.82661,6.877,5890,,10.0478,5.574711763
144276942,-44.80882279,353.9040839,11.9699,12.7719,13.243,10.8,10.006,4097,4.50043,,DWARF,0.744573,0.0762965,0.64,40,0.032724474,-65.3925,3.15868,12_13,2458630.719,11.1149,2.26,900,,10.0717,7.614393726
144301052,-42.01025894,354.2974935,12.0684,12.4661,12.614,11.515,11.217,6048,4.02791,,DWARF,1.70458,0.0865728,1.13,34,0.00524147,-15.8247,-14.3988,8_9_10,2458518.376,0.30412,0.748,1330,,8.802,7.190370898
144301273,-42.96637681,354.4455512,12.4502,12.9642,13.163,11.737,11.339,5317,4.34216,,DWARF,1.07114,0.0627538,0.92,42,0.013943832,35.4424,-2.41514,1_3_4_5_7_8,2458328.557,4.117662,1.438918,2498.445557,,13.1018,6.505825274
144336525,-46.86658006,356.1149099,11.7549,12.1294,12.325,11.216,10.899,5423.9,3.92813,-0.4,DWARF,1.74395,0.098254,0.94,26,0.010177299,-14.3227,-4.79,1_2_3_4_5,2458339.146,15.298914,3.035739,1315.800415,,Loading...,7.202024952
144401492,35.17178678,178.0465607,11.1476,11.7705,11.871,10.283,9.658,4868.61,4.6604,0.114053,DWARF,0.689401,0.0590955,0.793,21,0.00369304,-86.445,3.08908,1_2_3_4_5_7_8,2458329.908,18.383333,2.928908,1177.81543,,11.7481,7.322306901
144441148,33.49243318,207.9061694,8.70842,9.07801,9.2,8.161,7.873,5961.28,3.87842,0.134111,DWARF,1.99038,0.111754,1.092,26,0.001157437,-50.0009,-10.0006,18,2458793.375,1.74903,1.851,3390,,10.4511,6.174500754
144700903,11.56280139,85.07995102,12.6785,13.6645,14.413,11.466,10.587,3815,4.63139,,DWARF,0.623609,0.0186859,0.606938,278,0.06070551,23.3682,-38.0993,9_10,2458547.348,8.30792,3.228,8350,,8.0981,5.195783811
144956678,-35.55948936,122.0686445,9.9071,10.3653,10.539,9.27,8.938,6017,3.54868,,DWARF,2.93328,0.134,1.11,788,0.064329274,-1.86289,13.1332,1_2_3_4_5_6,2458325.965,12.289068,4.547494,339.464783,,10.1805,8.673013185
145027461,-30.7879517,122.2574891,10.4029,10.9761,11.232,9.481,8.925,5175,,,GIANT,7.68129,,,,,-4.59428,2.85791,4,2458413.05,4.428047,0.917873,684.989685,,9.5473,7.910789921
145750719,-14.99176269,341.3640181,12.0213,12.5004,12.662,11.377,10.988,5659,4.10474,,DWARF,1.46778,0.079598,1,31,0.008013443,3.48125,-2.78701,7_8,2458521.886,5.61264,6.235,4685.48,,11.3299,5.823114779
145879095,-51.32823377,132.8739702,9.9794,10.0981,10.199,9.596,9.384,,,,,,,,,,-0.759426,2.83078,8,2458520.089,16.597334,2.784924,2308.88623,,8.77728,6.591493666
145982812,-50.00883372,133.1452668,10.4708,10.7047,10.7,10.023,9.817,9981,4.02612,,DWARF,2.57096,0.0747136,2.56,857,0.045363408,-9.31,8.32792,5,2458439.98,2.24704,2.713,18890.40039,,12.6038,4.309397092
146172354,-42.24019964,157.8670477,10.2855,10.7369,10.973,9.687,9.291,5771,4.31043,,DWARF,1.17554,0.059,1.03,362,0.21141395,10.9924,-57.7477,3,2458387.482,5.566734,2.473858,642.924255,,10.5041,7.979600474
146208651,-48.81259307,133.4576892,9.796,10.386,10.637,8.957,8.332,5245,,,GIANT,2.60247,,,,,41.8285,-20.2169,11_12,2458601.381,1.1923,3.119,3730,,9.0039,6.07072792
146261607,-34.81934258,123.5819298,10.1749,10.1763,10.287,10.086,10.093,9373,3.57237,,DWARF,4.17963,0.425729,2.38,1208,0.088692136,-5.87095,4.79476,15_16_17,2458714.392,3.62339,2.586,16260.7002,,10.1543,4.472151893
146406806,-31.60831606,123.7335319,10.3979,10.3599,10.458,10.072,9.998,,,,,,,,,,-4.02629,1.42476,16_17_18_19,2458743.184,6.45054,3.538,360,,9.97595,8.609243748
146434840,-22.38224367,75.36074686,9.49344,9.8737,9.987,8.95,8.64,6134,4.02037,-0.58,DWARF,1.74287,0.0789322,1.161,65,0.018389056,19.7275,25.2327,18,2458794.103,3.623909,2.656801,26979.82031,,13.0367,3.922402368
146438872,-22.71190623,75.53169224,10.5068,10.8778,10.952,9.954,9.669,5829.35,3.7878,-0.675,DWARF,2.16635,0.10748,1.05,71,0.02937906,9.23061,9.72297,15,2458712.518,2.65646,2.475,773.369019,,9.08409,7.779033074
146463781,-31.55681835,123.8855591,14.7034,15.8802,17.46,13.25,12.454,3478,4.84539,,DWARF,0.379815,0.0116069,0.368528,1061,0.546016634,-28.8478,69.0892,15,2458712.514,2.65688,2.615,1959.880005,,10.8823,6.769426295
146467675,-20.73126578,76.08191052,9.70467,10.0934,10.198,9.158,8.85,5888.82,3.99479,-0.463348,DWARF,1.72157,0.0758995,1.068,59,0.13113758,-15.5101,-17.4817,6,2458470.2,6.388488,2.51086,27555.57227,,13.5287,3.899476413
146520535,-20.24559546,76.64954663,11.0462,11.6346,11.982,10.231,9.639,4945,4.43049,,DWARF,0.910128,0.0568267,0.814,68,0.002546984,15.3819,-3.97609,16_17,2458739.88,12.64001,6.893,9458.379883,,8.4239,5.060458118
146589986,-42.54166647,159.2215943,9.7611,9.74047,9.762,9.372,9.366,10395,4.12838,,DWARF,2.33837,0.109357,2.68,331,0.8783446,-15.1499,6.43665,16_18,2458740.093,1.71225,2.844,410,,9.39435,8.468040358
146846569,-44.62238675,160.8913727,15.173,16.7623,18.26,13.099,12.135,2868,5.06159,,DWARF,0.20128,0.00623173,0.170263,395,1.31287253,-287.11,132.7,1_2_3_4,2458327.409,2.499814,2.878017,15044.68164,,11.6035,4.556542495
147203645,-44.01778439,323.1959072,10.7258,11.2304,11.328,10.062,9.609,5399,4.40931,,DWARF,1.00217,0.0537965,0.94,90,0.008885173,29.8166,-58.517,1_2_3_4_5_6_7_8_9,2458332.274,28.303907,5.96737,341.356659,,10.5173,8.666979052
147340931,-44.98470711,162.9168768,10.5287,10.855,10.711,9.998,9.658,6736,4.12303,,DWARF,1.72465,0.0729548,1.44,378,1.71807182,0.55539,-7.80654,1_2_3_4_5_6,2458326.745,2.84938,3.776111,7452.432617,,10.3157,5.319254855
147576037,68.45865747,144.341553,9.6043,10.0326,10.167,9.025,8.709,6017,3.37311,,DWARF,3.59038,0.182081,1.11,40,0.004126547,-13.6257,10.9802,12,2458627.859,8.584258,2.080091,8451.461914,,7.9771,5.182670403
147660201,-42.8493571,163.9094233,11.1557,11.7345,11.964,10.314,9.782,5180,4.34766,,DWARF,1.04099,0.0589246,0.88,261,0.23138769,-55.0068,18.0189,2,2458325.899,0.71356,0.965,42497.5,,12.7464,3.429091544
147660886,-43.37673199,164.0318036,9.4916,9.75967,9.867,9.099,8.905,7297,3.95988,,DWARF,2.22759,0.084603,1.65,291,0.028134689,-25.2506,8.20795,25,2458987.22,5.798912,0.956606,12118.44105,,12.8233,4.791383114
147950620,69.96470846,167.8204822,10.4782,10.9887,11.302,9.791,9.34,5323,4.4073,,DWARF,0.992671,0.055799,0.918,35,0.018549344,79.4861,15.4279,1_2_4_5_6_7_8_9_10_11_12,2458402.036,105.585091,11.606881,462.911621,,10.4016,8.336254791
147951030,71.54092802,167.8659446,10.4547,10.9374,11.118,9.791,9.391,5491,4.5359,,DWARF,0.876335,0.0462864,0.962,43,0.002811698,-47.4686,-40.4656,23,2458928.225,1.467126,1.007329,1599.52799,,8.8223,6.99002039
147977348,-36.64615118,99.73461429,10.0367,10.4006,10.51,9.519,9.243,6442,3.91261,,DWARF,2.08785,0.0947261,1.3,190,0.03743989,-3.87228,4.92665,1_2_3_4_5_6,2458325.574,1.996071,5.910879,352.766724,,10.8623,8.63128097
148228019,-36.65730296,101.1887639,8.2488,8.45073,8.44,7.944,7.769,7403,,,DWARF,1.83686,,,166,0.002887805,-3.7,-11.9,1_2_3_4_5_6,2458352.129,47.024273,5.87434,1236.111816,,11.4994,7.269855605
148479278,-37.96023412,102.6580425,9.3777,9.61916,9.73,9.042,8.845,7323,4.28908,,DWARF,1.52949,0.054392,1.66,222,0.007047801,-12.0789,9.03098,1,2458328.129,4.940663,2.202493,398.563171,,7.9849,8.498757086
148659924,-32.90377097,114.8644486,10.3437,10.2702,10.235,10.221,10.239,,,,,,,,,,-5.11698,3.94773,25,2458984.389,0.67249,1.801,7890,,9.78569,5.257307492
148679712,46.48058869,172.1711506,10.1345,10.6157,10.634,9.508,9.092,5428.81,4.3631,0.210717,DWARF,1.0603,0.0470352,0.946,35,0.055429384,-4.62179,-29.055,6,2458469.697,4.378015,5.415178,7120.322754,,10.439,5.3687508
148782377,42.37827467,219.0373962,8.39816,8.73887,8.86,7.909,7.71,6383,4.24518,,DWARF,1.41048,0.0649246,1.276,36,0.000758182,-59.9348,42.4824,22,2458903.063,4.86071,2.722,6210,,Loading...,5.517271
148914726,67.23998302,187.0559697,10.1313,10.7103,10.879,9.317,8.678,4944,4.56781,,DWARF,0.775123,0.0488191,0.81,35,0.027086312,-6.57786,13.8229,1,2458327.331,4.8661,3.215,5029.02002,,11.7835,5.746291589
149010208,-31.33439593,3.394101053,11.681,12.017,12.174,11.207,10.879,6465,3.97557,,DWARF,1.94932,0.10201,1.31,26,0.004664075,2.6884,-1.75413,16_23,2458740.678,4.303042,2.315837,821.124351,,10.6375,7.713977671
149301575,-60.47711615,82.97944402,10.3046,10.6879,10.759,9.775,9.459,5804.3,4.26379,-0.37,DWARF,1.24639,0.062299,1.04,88,0.006122798,8.50585,91.1933,25,2458687.555,32.76639,6.089,500,,9.69902,8.252574989
149302744,-62.10912294,83.38231672,9.8106,10.1526,10.222,9.37,9.063,6138.6,4.19878,-0.39,DWARF,1.41864,0.0618693,1.16,338,0.009714067,-8.35559,23.4621,24,2458690.291,8.87202,3.637,6650,,10.9461,5.442945887
149577217,21.92308363,195.7620265,10.626,11.1891,11.451,9.803,9.357,5224.61,4.27753,0.126,DWARF,1.13555,0.055799,0.891,25,0.00022878,-30.7175,-2.63265,1,2458332.083,11.535076,8.555958,2389.90625,,7.1062,6.554047837
149601557,-60.49853276,87.28250849,10.0163,10.3995,10.508,9.476,9.183,6113.07,,0.0917514,DWARF,2.01294,,,102,0.025426704,8.9,20.7,11,2458599.314,6.89132,5.369,5940,,10.5,5.565533888
149603524,-63.98844079,87.13997409,9.7109,10.0721,10.213,9.272,8.944,6391,4.37665,0.24,DWARF,1.21427,0.0542211,1.28,971,0.016392281,-15.6405,26.0463,11_12_13,2458601.988,4.07833,4.804,6630,,10.0068,5.446216179
149788158,-2.498067722,130.7368334,11.0002,12.0657,12.68,9.662,8.827,3653,4.73985,,DWARF,0.497204,0.0147744,0.495286,93,0.124406084,22.577,-120.15,1_2_12_13,2458328.637,3.76285,4.155,10360,,10.5132,4.961600611
149833117,67.67729428,104.6285326,9.52339,9.83997,9.875,9.054,8.737,6578,4.30996,,DWARF,1.35549,0.0586934,1.368,97,0.07211933,1.21379,9.71138,1_12_13,2458325.513,3.7118,2.747,12280,,11.9692,4.777004083
149990841,-64.81954807,90.66251819,11.6349,12.0846,12.319,10.987,10.541,,,,,,,,,,-3.60631,14.9602,15_16,2458715.117,4.72088,4.374,5810,,9.03527,5.589559669
150030205,-60.66631985,90.98360774,9.1059,9.65064,9.866,8.357,7.851,5116,4.57337,,DWARF,0.793597,0.0471155,0.86,117,0.006789397,76.0636,-3.48183,24,2458771.677,10.2207,3.848,300,,7.3307,8.807196863
150098860,-61.99691543,91.79986213,9.6878,10.1897,10.466,9.03,8.542,5272.71,4.50182,-0.100718,DWARF,0.881545,0.0459347,0.9,112,0.017339401,-17.8151,-68.3612,11_12,2458599.054,3.08991,1.675,5870,,11.2394,5.578404747
150151262,-65.82597211,92.93613709,9.9059,10.5785,10.838,8.984,8.313,4504,4.5741,,DWARF,0.720461,0.0754372,0.71,732,0.03746708,-2.92948,31.0032,18,2458792.605,1.949394,0.686409,2697.289307,,11.0548,6.422681173
150167117,-62.21982221,93.41367879,11.1835,11.6211,11.284,10.558,10.193,5811.09,,-0.221005,DWARF,1.137,0.29772,,129,0.012673822,-12.2946,23.0115,3_4_5,2458392.819,32.379585,4.147055,59615.70313,,13.987,3.061598324
150247134,-62.64855259,94.16747847,11.4845,12.083,12.379,10.587,9.995,5031,,,GIANT,3.55583,,,,,-3.58043,34.7846,19_20,2458817.267,3.77013,2.851206,4361.180108,,10.7424,5.900989944
150271680,-63.86451757,94.75439348,9.5215,9.97597,10.22,8.879,8.443,5316.6,4.16991,-0.82,DWARF,1.30609,0.0746356,0.92,242,0.014310867,31.7626,-44.2819,21,2458876.025,6.515951,2.533431,434.584347,,8.4594,8.404814801
150428135,-65.57931155,97.09678659,10.9102,12.0665,13.151,9.469,8.634,3494,4.80892,,DWARF,0.419457,0.0125728,0.413261,252,0.010930741,-102.75,161.805,10,2458569.854,3.0524,2.627965,21775.49414,,10.7875,4.155079952
150428703,-64.59645752,97.16650732,11.7582,12.2311,12.401,11.109,10.677,5522.87,4.52785,-0.0112057,DWARF,0.888163,0.0508468,0.97,169,0.138576224,-19.8352,5.89626,25,2458956.237,5.63359,4.206,5680,,8.27468,5.614129161
150430484,-61.15048678,97.14324506,11.9587,12.5494,12.871,11.143,10.539,4971,4.59461,,DWARF,0.756197,0.049583,0.82,118,0.047992416,86.2013,37.551,10_11,2458576.188,27.214104,3.93466,4940.127441,,10.6392,5.765654618
151681127,-40.20695806,166.889032,9.1379,9.24822,9.265,8.94,8.864,8558,4.24848,,DWARF,1.81545,0.05201,2.13,199,0.007596292,-22.3978,9.41867,5,2458439.575,2.74436,3.442,10010,,9.3371,4.998914806
151825527,-39.32779334,167.9903888,11.6739,12.7364,13.576,10.36,9.507,3659,4.69906,,DWARF,0.544068,0.016274,0.539888,206,0.0956793,85.141,-74.7277,5,2458444.27,12.35611,5.963,8020,,11.0412,5.239564079
151959065,-36.45940317,168.9985142,11.955,12.2999,12.446,11.522,11.194,6661,4.14494,,DWARF,1.65817,0.0783919,1.4,170,0.198848978,-16.1788,-0.612351,11,2458571.841,3.22206,3.682,1160,,11.0897,7.338855027
152147232,-39.46211762,169.9096602,11.6713,12.0565,12.322,11.064,10.758,6402,4.17503,,DWARF,1.53153,0.0710427,1.28,210,0.192555562,-33.3818,8.6437,20,2458685.081,2.18619,3.711,2930,,12.6557,6.332830949
152476657,-45.8982154,62.61606656,10.5831,10.8989,10.96,10.148,9.877,6572,4.1187,,DWARF,1.68443,0.07301,1.36,40,0.064713,2.37925,-6.51059,20,2458700.974,18.10671,4.562,10340,,12.2339,4.963698653
153027658,-44.96175617,48.72628378,10.2413,10.6562,10.867,9.696,9.287,5321.1,,-0.95,DWARF,,,,,,-31.3513,-22.9879,3,2458383.972,0.63002,0.552,1320,,10.9994,7.198565172
153065527,-42.24237171,49.26240039,11.2828,12.5528,13.773,9.695,8.848,3324,4.83718,,DWARF,0.388609,0.0116001,0.378565,36,0.009102005,41.6746,-412.827,2,2458355.185,1.338231,2.157494,27436.63477,,11.8295,3.904172895
153077621,-42.64235631,49.66023409,9.441,10.822,11.09,7.744,7.508,,4.95373,,DWARF,0.296,0.07,0.287,,,-50.7364,6.32266,2,2458355.092,3.3262,2.931,27920,,12.9238,3.885211465
153651591,-26.16570336,121.0092846,10.5259,10.5563,10.451,10.331,10.291,9389,3.92164,,DWARF,2.80165,0.117136,2.39,947,0.6194735,-4.36853,6.2598,15_16_17_18_19_20_22_23,2458751.609,53.8147,4.826891,907.812649,,10.6699,7.605009426
153949511,66.79658998,172.7483541,9.76775,10.2393,10.366,9.14,8.725,5544,4.5609,,DWARF,0.857648,0.0429648,0.976,40,0.000798021,-50.7598,-14.0909,1,2458326.378,2.51266,2.411,2790.01001,,11.2314,6.385985596
153951307,68.83626556,201.3823979,11.2582,12.2219,12.796,10.039,9.184,3853,4.63168,,DWARF,0.62326,0.0182128,0.606665,34,0.004455197,-4.96341,-45.9215,1,2458326.378,2.5127,2.411,20000,,13.0934,4.247425011
153976959,67.62165374,203.5369351,9.9802,10.5198,10.631,9.229,8.714,5142,4.54622,,DWARF,0.82354,0.0484071,0.87,31,0.004571734,89.4292,-98.3544,1,2458325.539,1.007908,1.534232,220.394485,,7.384,9.141998193
154089169,68.61801469,209.2181326,10.2549,10.8073,10.964,9.467,8.964,5077,4.6074,,DWARF,0.75865,0.0485955,0.85,37,0.000352142,-81.0768,45.4976,17_18,2458765.821,3.77188,2.923,450,,9.5425,8.366968716
154383539,55.33367413,215.6024567,11.0906,11.6576,12.006,10.29,9.719,5011.22,4.6136,-0.139143,DWARF,0.74524,0.0389146,0.832,30,0.024794232,-39.8767,135.926,1,2458327.923,7.00776,2.68,3666.98999,,11.3569,6.089225689
154459165,-28.06609255,122.0345059,10.4259,11.0206,11.456,9.605,9.044,4869,4.54355,,DWARF,0.787173,0.0515577,0.79,966,0.1631492,-32.6596,-22.3083,6,2458469.706,3.524465,3.103957,21822.7832,,13.3675,4.152724655
154618248,-33.5003909,345.7789014,8.5509,8.88002,8.85,7.88,7.588,6208,,,,,,,,,53.2709,-18.971,11,2458597.039,2.675544,3.199293,14581.92676,,10.7036,4.590462719
154716798,84.0303674,158.0123699,10.7192,11.2549,11.628,9.987,9.49,5217,4.59186,,DWARF,0.789425,0.0435527,0.888,54,0.00311413,-26.1817,2.14063,3,2458387.491,3.90792,3.282,8100,,10.2676,5.228787453
154840461,85.70508624,182.6923779,8.40534,8.69089,8.773,7.965,7.738,7401,4.21073,,DWARF,1.68843,0.0609246,1.689,48,0.000357166,-14.1941,-2.27479,23,2458933.336,19.148095,4.427072,3146.665703,,9.26733,6.255373484
154867950,84.679146,188.3604929,8.68013,9.19298,9.41,7.945,7.474,5329,3.80234,,DWARF,1.99306,0.113206,0.919,56,0.001308188,-124.769,-43.9196,24,2458747.684,11.15031,4.449,630,,10.67,8.001648626
154872375,85.12947331,193.3955142,9.02855,9.41353,9.54,8.458,8.192,6121,4.37613,,DWARF,1.15415,0.0517362,1.155,61,0.012881481,16.8827,5.07604,11,2458600.3,4.794426,1.334607,2057.535645,,10.849,6.716631581
154927364,84.07158033,207.8748287,10.249,10.6695,10.715,9.66,9.313,6146,3.96606,,DWARF,1.85932,0.0882814,1.166,55,0.00609995,-14.6577,8.10533,16_17_18,2458740.219,1.44127,2.605,2750,,9.79455,6.401668265
155005217,42.54931756,345.2438354,10.4216,10.5135,10.593,10.177,10.175,9139,4.29,,DWARF,1.80236,0.0892764,2.31,220,0.04178694,-1.70406,0.00682752,13,2458658.248,1.62652,3.355,975.82,,10.3579,7.526575713
155044736,-27.97181909,122.8959567,10.7069,11.3418,11.618,9.773,9.121,4897,,,GIANT,6.79961,,,,,1.56559,-17.9737,15,2458688.225,11.0765,4.893,4013.590088,,10.1098,5.991167461
155114483,44.56488734,345.7483838,9.25068,9.36369,9.389,8.985,8.919,8728,4.31546,,DWARF,1.70383,0.048402,2.189,256,0.0733589,12.325,-9.10029,14,2458683.55,1.021332,1.061899,258.141357,,8.5325,8.970356028
155986102,-50.14012947,7.329892694,12.0235,12.4979,12.645,11.324,10.826,5369,,,DWARF,0.977787,,,41,0.007478313,27.7788,18.0423,12_13,2458629.395,10.065295,2.024974,788.713745,,9.0689,7.757701477
155995204,-52.04937543,7.658546076,13.5281,13.9554,14.225,12.942,12.594,5847,4.22187,,DWARF,1.32054,,1.06,,,2.34425,10.4016,24,2458768.29,7.1924,2.732,810,,10.5782,7.728787453
156002449,-50.72928714,8.481895248,13.4081,13.7929,14.034,12.835,12.527,6113,4.28914,,DWARF,1.27295,,1.15,,,14.8546,-34.1299,12,2458625.219,11.094122,3.309572,1131.990479,,9.6181,7.365393065
156016136,-50.31697801,8.923837031,12.6635,13.1645,13.312,11.992,11.573,5389,4.4929,,DWARF,0.910221,0.0504121,0.94,36,0.002014337,12.081,2.61498,25,2458793.036,1.50455,1.105,1140,,9.5287,7.357737872
156075294,-48.29356876,10.59463809,12.3012,12.7763,12.919,11.642,11.263,5541,4.27592,,DWARF,1.19313,0.0641608,0.98,36,0.010380309,-2.59411,-12.3936,5,2458442.619,7.048602,3.287855,319.089355,,6.4386,8.74021921
156115721,-27.27349179,124.3593798,9.2386,9.59157,9.9,8.322,8.011,6616,,,DWARF,1.53429,1.4887,,772,0.951607943,-29.1,-6.8,5,2458440.481,8.51179,3.835,3340,,10.9968,6.190633833
156199502,83.43765328,181.0738794,9.8565,10.4847,10.88,8.992,8.366,4718,4.49012,,DWARF,0.821067,0.0576634,0.76,62,0.015786521,-250.6,88.4338,5,2458439.813,2.30067,2.579,573.163025,,10.6152,8.104304585
156724719,39.9669663,72.03181425,9.353,9.63099,9.843,8.958,8.826,,,,DWARF,,,,,,1.4,-7,15,2458711.411,0.581322,1.326118,3206.601074,,12.9984,6.234887666
156987351,-47.61386025,99.58141807,8.8742,9.09131,9.167,8.534,8.387,7451,4.04653,,DWARF,2.05242,0.0721809,1.71,136,0.001773021,-0.399251,-1.4901,8,2458518.965,5.443936,3.619838,3034.68042,,8.86849,6.294717594
156991337,-42.04527668,99.95387721,10.234,10.6723,10.758,9.623,9.183,5846,4.39727,,DWARF,1.07907,0.053588,1.06,172,0.034615185,-11.2139,18.1337,25,2458792.791,7.07349,3.649,380,,8.3302,8.550541008
157225097,19.75861373,206.8454618,13.0383,13.6547,13.978,12.181,11.615,4836,4.4494,,DWARF,0.871731,,0.78,,,-7.3114,-37.1392,18_19,2458818.228,3.32125,4.304,5760,,9.7229,5.598943791
157266693,-33.86005658,176.6285046,13.1648,13.6564,13.944,12.458,12.046,5697,4.39259,,DWARF,1.05901,,1.01,,,-35.0231,-4.59676,7,2458491.828,1.27997,2.425,790,,10.5816,7.755932272
157568289,-36.77083444,106.7674289,10.4091,10.8618,11.173,9.732,9.395,6387,3.77571,,DWARF,2.42541,0.108113,1.28,297,0.20137617,0.934467,8.2737,17,2458765.114,0.71933,1.474,478.822998,,10.3973,8.299562496
157586003,40.01868945,279.2624236,12.0545,12.4967,12.591,11.408,11.051,5835,4.00101,,DWARF,1.69483,0.0842764,1.05,223,0.04365271,8.77897,0.249596,19,2458495.916,10.18708,3.557,6030,,10.2042,5.54920672
158002130,82.19404358,214.5530983,10.112,10.7445,11.017,9.237,8.594,4700,4.58986,,DWARF,0.727165,0.0518317,0.75,47,0.044704948,84.4077,-64.898,13,2458655.351,2.488964,3.014547,3454.284912,,8.1129,6.154104611
158025009,41.95342212,216.9240238,9.0739,9.65254,9.91,8.266,7.708,4946,4.53834,,DWARF,0.801873,0.0532161,0.81,33,0.192992315,-92.3375,-101.247,8,2458517.978,3.329788,3.24713,22427.29883,,12.4167,4.123057576
158075010,43.75634231,218.184663,8.38689,8.70496,8.816,7.939,7.711,6594,4.16825,,DWARF,1.59978,0.0666708,1.375,33,0.002122536,-44.8881,19.9044,1,2458325.726,0.46291,0.520794,4681.644043,,11.9238,5.824004025
158170594,43.68093099,286.1103154,13.8046,14.2486,14.399,13.19,12.837,5832.83,4.20893,0.371,DWARF,1.33402,,1.05,,,-1.69101,7.01685,1,2458332.31,8.1375,3.253514,3576,,7.8541,6.116506225
158297421,-49.66496345,287.4843766,13.6699,14.3998,14.602,12.653,11.926,4434,4.58883,,DWARF,0.6983,,0.69,,,3.82723,4.87779,8,2458518.762,0.98877,1.65,744.947021,,10.2658,7.819686531
158324245,46.86831422,286.9714153,10.2306,10.3678,9.791,9.466,9.425,7986.07,,,,,,,,,-4.40141,-15.7796,9,2458546.477,15.778431,3.360643,6974.195801,,10.6845,5.39126466
158561566,47.33305,287.708814,11.636,,12.003,11.202,10.988,6378,,0.07,,2.00068,0.103465,,262,0.04199452,,,17,2458765.604,5.02647,2.76,7280,,10.3002,5.344671552
158588995,-36.85809294,164.5874378,11.8764,13.0914,14.203,10.359,9.469,3411,4.80667,,DWARF,0.421944,0.0125279,0.416017,179,0.039727107,-163.27,-3.76619,10,2458328.748,6.40916,2.737,280,,9.2225,8.882104922
158623531,-50.65917138,24.16810887,11.2794,11.8445,12.049,10.456,9.935,,,,DWARF,,,,,,-35.3712,-31.7246,13,2458663.002,11.46597,1.698,7250,,9.3871,5.349154984
158978373,-40.73982816,218.6582076,9.9623,10.337,10.554,9.485,9.179,6300,4.30339,,DWARF,1.30032,0.0571256,1.24,435,0.032791954,15.0187,-8.00451,1_2_4_5_6_7_8,2458326.28,1.418474,5.272799,139.818329,,10.714,9.636089731
159107668,44.64739379,289.7397132,11.1634,11.596,11.713,10.542,10.213,5826,3.7213,0.12,DWARF,2.33872,0.172542,1.05,360,0.05090341,2.83091,-10.8131,8,2458520.158,2.5188,1.473,580,,6.725,8.091430016
159244568,82.44721301,227.1787972,11.0372,11.565,12.026,10.289,9.809,5244,4.58339,,DWARF,0.800741,0.0434623,0.896,74,0.158254653,35.8916,-66.7838,8,2458518,3.930792,1.332557,1164.257568,,8.74094,7.334877326
159418353,83.25819467,240.1773557,9.812,10.4185,10.692,8.982,8.388,4814,4.54519,,DWARF,0.780707,0.0535628,0.78,57,0.000390412,-132.915,107.827,14,2458684.845,2.136,1.74,10663.59961,,10.381,4.930240425
159510109,80.3074791,247.5351912,8.8523,9.26047,9.329,8.288,7.935,5920,4.37469,,DWARF,1.1179,0.0543668,1.08,59,0.001266366,-18.3348,66.5362,10,2458570.773,1.354148,2.030844,20960.55078,,12.7492,4.196493274
159742538,37.21182947,268.3043712,11.1116,11.4731,11.932,10.583,10.33,6184,3.9042,0.26,DWARF,2.00852,0.104535,1.18,156,0.029891366,-6.48161,-20.8554,16_17,2458740.859,4.95898,1.831,230.231995,,7.8165,9.094585808
159781361,48.9554061,234.4316841,9.6087,10.0769,10.263,8.961,8.598,5588,3.92293,,DWARF,1.79774,0.0898141,0.987,33,0.000460194,12.3522,-46.4656,16_17,2458739.705,2.1568,2.246,1020,,10.471,7.478499571
159873822,52.30631426,237.9241797,10.7545,11.3252,11.431,9.895,9.439,5021.63,4.59531,0.101813,DWARF,0.762469,0.040309,0.835,54,0.001285577,-10.3926,-1.38446,2,2458365.263,11.665865,2.010591,2699.083496,,11.3018,6.421959201
159951311,-41.30212903,49.56226473,11.7276,12.2715,12.456,10.982,10.472,5151,4.52216,,DWARF,0.846671,0.0549573,0.87,31,0.009451731,-15.9998,24.5115,14_15_16_17,2458684.616,2.74425,1.659033,5104.372559,,10.634,5.730144087
160039081,53.51504193,241.5806972,7.8206,8.21586,8.35,7.224,6.92,6004,4.36245,,DWARF,1.1494,0.0511759,1.11,44,0.01736156,69.8461,-93.0554,15_16,2458717.601,2.51584,2.644,1750,,10.2732,6.892404878
160045097,74.41162061,213.0800448,11.3069,12.0399,12.329,10.248,9.552,4336,4.62012,,DWARF,0.668693,0.0560352,0.68,45,0.004232903,-79.455,39.548,15_16,2458712.767,2.86876,2.422,1030,,10.399,7.467906938
160074939,-36.9455321,346.3190895,8.7435,9.06107,9.17,8.297,8.082,6553,4.24471,,DWARF,1.45696,0.065691,1.36,38,0.011462409,14.6659,-24.8915,14_15,2458683.401,5.400569,3.657482,344.664673,,9.50898,8.65650807
