uBTM,uBTMs,tSLI,eBTM,sBTM
uBTM,0,10,10,0,0
uBTMs,10,0,8,10,10
tSLI,10,8,0,10,10
eBTM,0,10,10,0,0
sBTM,0,10,10,0,0
